  1  1  1
  1
  2 48  9
  1  2  3  4  5  6  7  8  9
  4  6  5  1  3  2  8  7  9
  3  7  1  5  4  8  2  6  9
  5  8  4  3  1  7  6  2  9
  2  1  7  6  8  4  3  5  9
  6  4  8  2  7  1  5  3  9
  7  3  2  8  6  5  1  4  9
  8  5  6  7  2  3  4  1  9
  1  3  4  2  6  7  5  8  9
  4  5  1  6  2  8  3  7  9
  3  1  5  7  8  2  4  6  9
  5  4  3  8  7  6  1  2  9
  2  7  6  1  4  3  8  5  9
  6  8  2  4  1  5  7  3  9
  7  2  8  3  5  1  6  4  9
  8  6  7  5  3  4  2  1  9
  1  4  2  3  7  5  6  8  9
  4  1  6  5  8  3  2  7  9
  3  5  7  1  2  4  8  6  9
  5  3  8  4  6  1  7  2  9
  2  6  1  7  3  8  4  5  9
  6  2  4  8  5  7  1  3  9
  7  8  3  2  1  6  5  4  9
  8  7  5  6  4  2  3  1  9
  1  2  4  3  5  7  6  8  9
  4  6  1  5  3  8  2  7  9
  3  7  5  1  4  2  8  6  9
  5  8  3  4  1  6  7  2  9
  2  1  6  7  8  3  4  5  9
  6  4  2  8  7  5  1  3  9
  7  3  8  2  6  1  5  4  9
  8  5  7  6  2  4  3  1  9
  1  3  2  4  6  5  7  8  9
  4  5  6  1  2  3  8  7  9
  3  1  7  5  8  4  2  6  9
  5  4  8  3  7  1  6  2  9
  2  7  1  6  4  8  3  5  9
  6  8  4  2  1  7  5  3  9
  7  2  3  8  5  6  1  4  9
  8  6  5  7  3  2  4  1  9
  1  4  3  2  7  6  5  8  9
  4  1  5  6  8  2  3  7  9
  3  5  1  7  2  8  4  6  9
  5  3  4  8  6  7  1  2  9
  2  6  7  1  3  4  8  5  9
  6  2  8  4  5  1  7  3  9
  7  8  2  3  1  5  6  4  9
  8  7  6  5  4  3  2  1  9
  3  8  5
  1  2  3  4  5
  2  1  4  3  5
  3  4  1  2  5
  4  3  2  1  5
  1  3  2  4  5
  2  4  1  3  5
  3  1  4  2  5
  4  2  3  1  5
  4  1  1
  1
  5  2  3
  1  2  3
  2  1  3
  6  2  3
  1  2  3
  2  1  3
  7  1  1
  1
  8  1  2
  1  2
  9  1  1
  1
 10 16 15
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15
  3  6  1  7  8  2  4  5 11 12  9 10 13 14 15
  4  5  7  1  2  8  3  6 10  9 12 11 13 14 15
  7  8  4  3  6  5  1  2 12 11 10  9 13 14 15
  2  1  6  5  4  3  8  7  9 10 11 12 14 13 15
  6  3  2  8  7  1  5  4 11 12  9 10 14 13 15
  5  4  8  2  1  7  6  3 10  9 12 11 14 13 15
  8  7  5  6  3  4  2  1 12 11 10  9 14 13 15
  1  2  4  3  6  5  7  8  9 11 10 12 13 14 15
  3  6  7  1  2  8  4  5 11  9 12 10 13 14 15
  4  5  1  7  8  2  3  6 10 12  9 11 13 14 15
  7  8  3  4  5  6  1  2 12 10 11  9 13 14 15
  2  1  5  6  3  4  8  7  9 11 10 12 14 13 15
  6  3  8  2  1  7  5  4 11  9 12 10 14 13 15
  5  4  2  8  7  1  6  3 10 12  9 11 14 13 15
  8  7  6  5  4  3  2  1 12 10 11  9 14 13 15
 11  8  6
  1  2  3  4  5  6
  3  4  1  2  5  6
  2  1  4  3  5  6
  4  3  2  1  5  6
  1  3  2  4  5  6
  3  1  4  2  5  6
  2  4  1  3  5  6
  4  2  3  1  5  6
 12  4 10
  1  2  3  4  5  6  7  8  9 10
  3  4  1  2  6  5  8  7  9 10
  2  1  4  3  5  6  7  8  9 10
  4  3  2  1  6  5  8  7  9 10
 13  4  7
  1  2  3  4  5  6  7
  4  3  2  1  6  5  7
  3  4  1  2  5  6  7
  2  1  4  3  6  5  7
 14  4  5
  1  2  3  4  5
  3  4  1  2  5
  2  1  4  3  5
  4  3  2  1  5
 15  4  6
  1  2  3  4  5  6
  1  2  4  3  5  6
  2  1  4  3  5  6
  2  1  3  4  5  6
 16 48 21
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21
  2  1  5  6  3  4  8  7  9 10 11 12 15 16 13 14 18 17 20 19 21
  3  5  1  7  2  8  4  6 11 12  9 10 13 14 15 16 19 20 17 18 21
  5  3  2  8  1  7  6  4 11 12  9 10 15 16 13 14 20 19 18 17 21
  4  6  7  1  8  2  3  5 10  9 12 11 14 13 16 15 17 18 19 20 21
  6  4  8  2  7  1  5  3 10  9 12 11 16 15 14 13 18 17 20 19 21
  7  8  4  3  6  5  1  2 12 11 10  9 14 13 16 15 19 20 17 18 21
  8  7  6  5  4  3  2  1 12 11 10  9 16 15 14 13 20 19 18 17 21
  1  4  2  3  6  7  5  8 17 19 18 20  9 11 10 12 13 14 15 16 21
  2  6  1  5  4  8  3  7 18 20 17 19  9 11 10 12 15 16 13 14 21
